fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio
2001-02-01,,,,,,,,49.4,51.8,51.866666666666674,3.320053120849953,3.8076152304609145,2.7607361963190247,0.7782101167315147,2001-01-01,2001-03-01
2001-03-01,,,,,,,,55.1,52.1,52.56666666666666,3.7499999999999867,4.4088176352705455,3.3200531208499307,0.5791505791505891,2001-02-01,2001-04-01
2001-04-01,,,,,,,,53.2,52.0,53.699999999999996,3.801546391752586,3.792415169660668,3.3663366336633693,-0.19193857965451588,2001-03-01,2001-05-01
2001-05-01,,,,,,,,52.8,52.3,52.43333333333334,4.241219350563297,3.976143141153088,3.3992094861660105,0.5769230769230749,2001-04-01,2001-06-01
2001-06-01,,,,,,,,51.3,52.6,51.26666666666667,3.989181879648407,5.835010060362178,3.7810945273631713,0.5736137667304186,2001-05-01,2001-07-01
2001-07-01,,,,,,,,49.7,52.0,50.56666666666666,3.7619699042407806,2.7667984189723382,3.6296084595598854,-1.1406844106463865,2001-06-01,2001-08-01
2001-08-01,,,,,,,,50.7,52.3,49.800000000000004,2.751031636863832,2.7504911591355485,3.532064128256529,0.5769230769230749,2001-07-01,2001-09-01
2001-09-01,,,,,,,,49.0,52.1,50.93333333333334,2.826379542395707,2.3575638506876384,3.445961065115255,-0.3824091778202643,2001-08-01,2001-10-01
2001-10-01,,,,,,,,53.1,52.4,51.93333333333334,2.7027027027026973,2.544031311154593,3.390170511534607,0.5758157389635254,2001-09-01,2001-11-01
2001-11-01,,,,,,,,53.7,52.7,54.13333333333333,2.267002518891692,2.529182879377445,3.303684879288449,0.5725190839694694,2001-10-01,2001-12-01
2001-12-01,,,,,,,,55.6,52.4,53.900000000000006,2.1478205938092243,1.3539651837524147,3.1368664355291287,-0.5692599620493399,2001-11-01,2002-01-01
2002-01-01,,,,,,,,52.4,53.1,52.53333333333333,1.481004507405026,3.30739299610896,2.544031311154593,1.335877862595436,2001-12-01,2002-02-01
2002-02-01,,,,,,,,49.6,52.8,52.5,1.2210796915167021,1.9305019305019266,1.4925373134328401,-0.5649717514124353,2002-01-01,2002-03-01
2002-03-01,,,,,,,,55.5,52.9,53.29999999999999,1.3950538998097617,1.5355086372360827,1.2210796915167021,0.18939393939394478,2002-02-01,2002-04-01
2002-04-01,,,,,,,,54.8,53.5,54.76666666666667,1.9863438857852467,2.8846153846153744,1.676245210727978,1.1342155009451904,2002-03-01,2002-05-01
2002-05-01,,,,,,,,54.0,53.1,53.800000000000004,2.6064844246662444,1.5296367112810794,1.7966360856269015,-0.747663551401867,2002-04-01,2002-06-01
