ipc_anual,fecha,ipc_anual_original,ipc_mensual_original,ipc_indice_original,ipc_indice_sa,ipc_mensual_sa,ipc_anual_sa,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio,mes,ir_magnitud,ir_signo,alineacion_ene,pandemia,ipc_ajuste,ipc_acumulado_diciembre,distancia_meta_ipc_pp,distancia_referencia_nairu_pp
1.467121472976407,2017-09-01,1.5,-0.2,73.33,73.3213176626885,-0.28135683016536905,1.467121472976407,3.25827676494894,R,6.984697394799097,Ago - Oct,2017-09-01,2017-10-01,92.8,97.6,95.5,2.3214285714285854,2.628811777076767,0.7243795273720544,0.411522633744843,2017-08-01,2017-10-01,2017-09,3.25827676494894,Aumento,central,False,sa,,-1.532878527023593,-1.2653026052009029
1.8852045962644004,2017-10-01,1.9,0.6,73.76,73.5929610572688,0.3704835145352581,1.8852045962644004,2.92090899402913,R,6.703918721948665,Sep - Nov,2017-10-01,2017-11-01,97.8,97.4,97.56666666666666,2.7378027378027525,2.9598308668076223,0.982066609735277,-0.2049180327868716,2017-09-01,2017-11-01,2017-10,2.92090899402913,Aumento,central,False,sa,,-1.1147954037355996,-1.5460812780513349
1.9165364178583832,2017-11-01,1.9,0.1,73.83,73.7805425317947,0.25489051103668725,1.9165364178583832,3.2681187321042,R,6.512653213019962,Oct - Dic,2017-11-01,2017-12-01,102.1,98.1,101.86666666666666,3.1039136302294157,3.5902851108764455,1.2168034765813518,0.7186858316221567,2017-10-01,2017-12-01,2017-11,3.2681187321042,Aumento,central,False,sa,,-1.0834635821416168,-1.737346786980038
2.2740333655833167,2017-12-01,2.3,0.1,73.93,74.0654810713201,0.3861974034720772,2.2740333655833167,2.81361486689686,R,6.82543744457195,Nov - Ene,2017-12-01,2018-01-01,105.7,98.1,101.56666666666666,3.569000679809653,3.3719704952581475,1.3438735177865535,0.0,2017-11-01,2018-01-01,2017-12,2.81361486689686,Aumento,central,False,sa,2.2740333655833167,-0.7259666344166833,-1.42456255542805
2.1765881528482467,2018-01-01,2.2,0.5,74.27,74.2938067288922,0.30827539937565707,2.1765881528482467,2.59274133118892,R,7.010053212079131,Dic - Feb,2018-01-01,2018-02-01,96.9,98.8,98.5,3.8299367533380035,4.550264550264549,4.756756756756753,0.7135575942915473,2017-12-01,2018-02-01,2018-01,2.59274133118892,Aumento,central,False,sa,,-0.8234118471517533,-1.2399467879208688
1.9932034918568986,2018-02-01,2.0,0.0,74.31,74.3975907974221,0.13969410520127123,1.9932034918568986,2.78427676889748,R,7.376087580975549,Ene - Mar,2018-02-01,2018-03-01,92.9,99.0,98.36666666666667,4.608294930875578,5.207226354941552,4.5154185022026505,0.2024291497975783,2018-01-01,2018-03-01,2018-02,2.78427676889748,Aumento,central,False,sa,,-1.0067965081431014,-0.8739124190244514
1.8025644512089212,2018-03-01,1.8,0.2,74.46,74.3819535546655,-0.02101848001929696,1.8025644512089212,2.64565930217318,R,6.993793949154417,Feb - Abr,2018-03-01,2018-04-01,105.3,99.3,100.06666666666666,5.333333333333323,5.976520811099251,4.608294930875578,0.3030303030302939,2018-02-01,2018-04-01,2018-03,2.64565930217318,Aumento,central,False,sa,,-1.1974355487910788,-1.2562060508455826
1.8890694876839254,2018-04-01,1.9,0.3,74.7,74.5864423594482,0.27491722791659345,1.8890694876839254,3.13411836752304,R,7.3814464950713905,Mar - May,2018-04-01,2018-05-01,102.0,100.0,102.93333333333334,5.464480874316924,5.374077976817704,5.1920529801324555,0.7049345417925457,2018-03-01,2018-05-01,2018-04,3.13411836752304,Aumento,central,False,sa,,-1.1109305123160746,-0.8685535049286095
2.0349115818862007,2018-05-01,2.0,0.3,74.9,74.8267612548966,0.3222018477436528,2.0349115818862007,2.67024135896432,R,7.513714492964612,Abr - Jun,2018-05-01,2018-06-01,101.5,100.3,100.60000000000001,5.340314136125657,5.136268343815509,5.101180438448583,0.29999999999998916,2018-04-01,2018-06-01,2018-05,2.67024135896432,Aumento,central,False,sa,,-0.9650884181137993,-0.7362855070353884
2.5523535809919062,2018-06-01,2.5,0.1,74.98,75.083177669066,0.3426800918135742,2.5523535809919062,1.94645220539684,R,7.853458461105249,May - Jul,2018-06-01,2018-07-01,98.3,100.1,97.83333333333333,4.07801418439715,4.379562043795615,4.977136827295103,-0.1994017946161497,2018-05-01,2018-07-01,2018-06,1.94645220539684,Aumento,central,False,sa,,-0.44764641900809377,-0.3965415388947511
2.6742049666298007,2018-07-01,2.7,0.4,75.25,75.3032359017069,0.2930859341233827,2.6742049666298007,1.34980562758562,R,7.719071107904813,Jun - Ago,2018-07-01,2018-08-01,93.7,100.1,96.73333333333333,3.274021352313161,3.409090909090917,4.715693707354052,0.0,2018-06-01,2018-08-01,2018-07,1.34980562758562,Aumento,central,False,sa,,-0.3257950333701993,-0.5309288920951873
2.644202101659099,2018-08-01,2.6,0.2,75.38,75.4724283172517,0.22468146756089435,2.644202101659099,0.928241675398822,R,7.470290516526306,Jul - Sep,2018-08-01,2018-09-01,98.2,99.5,95.43333333333334,2.3962804005722482,2.366255144032925,4.421498543817837,-0.5994005994005902,2018-07-01,2018-09-01,2018-08,0.928241675398822,Aumento,central,False,sa,,-0.35579789834090114,-0.7797094834736944
3.1447194446795113,2018-09-01,3.1,0.3,75.63,75.6270673963223,0.2048947973696702,3.1447194446795113,1.26222303009864,R,7.41190682990658,Ago - Oct,2018-09-01,2018-10-01,94.4,99.8,98.26666666666667,2.897033158813267,2.254098360655732,4.126385286489032,0.3015075376884502,2018-08-01,2018-10-01,2018-09,1.26222303009864,Aumento,central,False,sa,,0.14471944467951126,-0.83809317009342
