fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio,mes,ir_magnitud,ir_signo,alineacion_ene,pandemia,ipc_acumulado_diciembre,distancia_meta_ipc_pp,distancia_referencia_nairu_pp
2013-12-01,3.0,2.4261752485478,R,6.231466599105631,Nov - Ene,2013-12-01,2014-01-01,97.0,89.8,93.2,2.4551117625503993,1.814058956916087,3.312211981566815,-0.9922822491731043,2013-11-01,2014-01-01,2013-12,2.4261752485478,Aumento,central,False,3.0,0.0,-2.018533400894369
2014-01-01,3.0,2.73404268810484,R,6.184694729297182,Dic - Feb,2014-01-01,2014-02-01,88.1,89.9,89.96666666666665,2.389984825493152,1.2387387387387427,1.7321016166281789,0.11135857461026522,2013-12-01,2014-02-01,2014-01,2.73404268810484,Aumento,central,False,,0.0,-2.065305270702818
2014-02-01,3.4,2.53436704991652,R,6.496404147634725,Ene - Mar,2014-02-01,2014-03-01,84.8,90.8,89.39999999999999,2.444614209320073,2.8312570781426905,2.3682652457075237,1.0011123470522687,2014-01-01,2014-03-01,2014-02,2.53436704991652,Aumento,central,False,,0.3999999999999999,-1.753595852365275
2014-03-01,3.9,2.23914625933563,R,6.144147156535248,Feb - Abr,2014-03-01,2014-04-01,95.3,90.9,90.96666666666665,2.363090772693144,2.134831460674169,2.444614209320073,0.11013215859032588,2014-02-01,2014-04-01,2014-03,2.23914625933563,Aumento,central,False,,0.8999999999999999,-2.105852843464752
2014-04-01,5.0,1.21611455660673,R,6.324242958052071,Mar - May,2014-04-01,2014-05-01,92.8,91.4,93.53333333333332,2.036363636363614,2.5813692480359363,2.208380520951314,0.5500550055005604,2014-03-01,2014-05-01,2014-04,1.21611455660673,Aumento,central,False,,2.0,-1.9257570419479286
2014-05-01,5.4,1.03835633488651,R,6.517831912247811,Abr - Jun,2014-05-01,2014-06-01,92.5,91.5,91.73333333333333,1.6623568526043409,2.578475336322872,2.162649245325521,0.1094091903719896,2014-04-01,2014-06-01,2014-05,1.03835633488651,Aumento,central,False,,2.4000000000000004,-1.7321680877521892
2014-06-01,4.8,1.76019085368635,R,6.594121807347124,May - Jul,2014-06-01,2014-07-01,89.9,90.9,89.5,1.397280966767389,1.1123470522803158,2.0469483568074986,-0.6557377049180246,2014-05-01,2014-07-01,2014-06,1.76019085368635,Aumento,central,False,,1.7999999999999998,-1.6558781926528763
2014-07-01,4.7,2.44291651688484,R,6.826477763132528,Jun - Ago,2014-07-01,2014-08-01,86.1,90.6,88.56666666666666,0.9882174078297057,0.6666666666666599,1.860841423948223,-0.33003300330034513,2014-06-01,2014-08-01,2014-07,2.44291651688484,Aumento,central,False,,1.7000000000000002,-1.4235222368674716
2014-08-01,4.8,1.54062243907305,R,6.760549925960638,Jul - Sep,2014-08-01,2014-09-01,89.7,91.1,87.73333333333335,1.3086989992301845,1.1098779134295134,1.725601131541743,0.5518763796909409,2014-07-01,2014-09-01,2014-08,1.54062243907305,Aumento,central,False,,1.7999999999999998,-1.489450074039362
2014-09-01,5.1,1.32044969593372,R,6.563670255121824,Ago - Oct,2014-09-01,2014-10-01,87.4,90.9,90.36666666666667,1.6879219804951218,1.2249443207126953,1.8048718919601248,-0.2195389681668325,2014-08-01,2014-10-01,2014-09,1.32044969593372,Aumento,central,False,,2.0999999999999996,-1.6863297448781758
