fecha,ipc_indice_original,ipc_mensual_original,ipc_anual_original,ipc_indice_sa,ipc_tendencia,ipc_factor_estacional,ipc_irregular,ipc_mensual_sa,ipc_anual_sa,ipc_anual_original_calculada
2012-04-01,62.06,0.1,3.5,61.989460741809,61.9985554853656,1.00113792340419,0.999853307170056,0.04553567547018744,3.5018740846472163,3.502334889926617
2012-05-01,62.08,0.0,3.1,62.043067960997,62.0136001815126,1.00059526455117,1.0004751825309,0.08647795697285243,3.129545326175953,3.12292358803985
2012-06-01,61.9,-0.3,2.7,61.9750559017237,61.9829695181332,0.998788933698701,0.999872325955483,-0.10962072236023745,2.6572418859077906,2.6533996683250516
2012-07-01,61.89,0.0,2.5,61.9462490871593,61.994124399111,0.99909196944144,0.999227744364231,-0.046481304688261726,2.508270921449407,2.500828088771123
2012-08-01,62.03,0.2,2.6,62.1242551113476,62.1635026869577,0.998482796917587,0.999368639572841,0.28735561363504303,2.577953624666307,2.5797916322143344
2012-09-01,62.5,0.8,2.8,62.4686195316189,62.442583660958,1.00050233971258,1.00041695697286,0.5543155723220838,2.828288243361432,2.829878249424156
2012-10-01,62.85,0.6,2.9,62.701317962801,62.6057580550136,1.00237127451272,1.00152637570019,0.37250451975221477,2.9052368552772156,2.9146880628786676
2012-11-01,62.57,-0.5,2.1,62.5369314761788,62.6025933224699,1.00052878392081,0.998951132168712,-0.26217389356907317,2.1315898721685045,2.1384263793666314
2012-12-01,62.55,0.0,1.5,62.6291548313856,62.6245576183079,0.998736134447308,1.00007340911062,0.14747022763970108,1.4823520514662514,1.4763140817650733
2013-01-01,62.67,0.2,1.6,62.7030029894657,62.7079079702623,0.999473661740392,0.999921780506551,0.11791338758908587,1.591922680320157,1.5885881017993153
2013-02-01,62.74,0.1,1.3,62.7963242060932,62.8017630046728,0.999103065238209,0.9999133973583,0.14883053789813694,1.3150711641119361,1.3079283061521174
2013-03-01,62.98,0.4,1.5,62.9101779359157,62.8042675265731,1.00110986912413,1.00168635689124,0.18130636030355696,1.5314922201428605,1.5315170078993967
2013-04-01,62.68,-0.5,1.0,62.6077042189783,62.682959754618,1.00115474256601,0.998799425937539,-0.4808025137768901,0.9973364339211477,0.9990331936835295
2013-05-01,62.67,0.0,0.9,62.63469186681,62.7470609730769,1.00056371528521,0.998209173393553,0.043105953441946454,0.9535697141619837,0.9503865979381576
2013-06-01,63.07,0.6,1.9,63.1460885475892,63.0507308871857,0.998795039418288,1.00151239579719,0.8164751282989657,1.8895225326177378,1.8901453957996805
2013-07-01,63.24,0.3,2.2,63.2962632182347,63.3023896242892,0.99911111311515,0.999903219987572,0.23782101805454037,2.1793315188073814,2.1812893843916603
2013-08-01,63.39,0.2,2.2,63.4812669812274,63.4867848202498,0.998562300572004,0.999913086809514,0.2922822826915361,2.1843511321746556,2.1924875060454596
2013-09-01,63.73,0.5,2.0,63.6987078200961,63.6324619211915,1.00049125297788,1.00104107081362,0.34252756633386117,1.9691299370791837,1.967999999999992
2013-10-01,63.82,0.1,1.5,63.6663048237901,63.757425316744,1.00241407407946,0.998570825397965,-0.05086915797022362,1.5390216543160973,1.5433571996817719
2013-11-01,64.06,0.4,2.4,64.0225563718772,64.0551675438028,1.00058485056275,0.999490889288467,0.5595605855767793,2.375596084793985,2.381332907143996
2013-12-01,64.44,0.6,3.0,64.5296040011464,64.4178303190643,0.998611428002181,1.00173513577729,0.7919827916960775,3.034448053589922,3.021582733812944
2014-01-01,64.56,0.2,3.0,64.5979648098875,64.6631745386206,0.999412290928991,0.998991547674571,0.10593712730655458,3.0221229129012483,3.0157970320727534
2014-02-01,64.87,0.5,3.4,64.9363382258696,64.9504997749899,0.998978411353611,0.999781963969955,0.5238143600621692,3.4078651048953468,3.394963340771451
2014-03-01,65.41,0.8,3.9,65.3404571241993,65.3393380767369,1.00106431572201,1.00001712670338,0.6223309003412503,3.8630938077448107,3.8583677357891366
2014-04-01,65.82,0.6,5.0,65.7387980199448,65.7069308272616,1.00123522155106,1.00048498982196,0.6096389790912093,5.0011317936449196,5.009572431397569
2014-05-01,66.04,0.3,5.4,65.9986710131026,65.9765889632312,1.00062620938063,1.00033469523385,0.3953114461857865,5.370792201621977,5.37737354396044
2014-06-01,66.08,0.1,4.8,66.1581710445989,66.1511207138606,0.998818421921818,1.00010657915788,0.24167158072718742,4.770022286874798,4.772475027746936
2014-07-01,66.23,0.2,4.7,66.2855685595652,66.313059620892,0.999161679370446,0.999585435184503,0.19256504972064992,4.722720093323507,4.728020240354214
2014-08-01,66.44,0.3,4.8,66.5286471008038,66.5761407719379,0.998667534894111,0.999286626251034,0.3667141227281734,4.800439979368343,4.811484461271487
2014-09-01,67.0,0.8,5.1,66.9682012015022,67.0014380418377,1.0004748342934,0.99950393840331,0.6606989918679584,5.132746790782816,5.131021496940225
2014-10-01,67.7,1.0,6.1,67.5327399157795,67.4316215974682,1.00247672587295,1.00149956824285,0.8429951889832754,6.07296921454854,6.079598871827008
2014-11-01,67.71,0.0,5.7,67.6653061627248,67.605360315556,1.00066051333851,1.00088670257638,0.19629922776807085,5.689791219345519,5.697783328129868
2014-12-01,67.43,-0.4,4.6,67.5338257580336,67.5660230034162,0.998462611041678,0.999523469875074,-0.19430992357444277,4.6555713511488905,4.639975170701449
2015-01-01,67.49,0.1,4.5,67.5313820615283,67.5936855060137,0.999387217316379,0.999078265314001,-0.003618477818878585,4.5410366414389,4.538413878562575
2015-02-01,67.72,0.4,4.4,67.7966545769805,67.7965282118572,0.998869345730128,1.00000186388782,0.3928136924704173,4.404800808388343,4.393402188993356
2015-03-01,68.15,0.6,4.2,68.0827150382066,68.0997641587636,1.00098828258767,0.999749644939779,0.4219389039340937,4.196875924505394,4.188961932426238
2015-04-01,68.54,0.6,4.1,68.4526232852853,68.3976932479528,1.00127645531349,1.00080309780526,0.5433218209219604,4.12819422788524,4.132482528106984
2015-05-01,68.66,0.2,4.0,68.6138185798988,68.6883697540933,1.00067306296395,0.998914646330065,0.23548446630263786,3.962424586211788,3.967292549969703
2015-06-01,69.0,0.5,4.4,69.0823899645402,69.0297742149082,0.998807366615682,1.00076221819107,0.6829111020774326,4.420041959699894,4.418886198547223
2015-07-01,69.29,0.4,4.6,69.3435507332139,69.4054527333685,0.999227747459603,0.999108110419041,0.3780424632207291,4.613345317994444,4.620262720821389
2015-08-01,69.76,0.7,5.0,69.845691334587,69.7835216256853,0.998773133561288,1.00089089383071,0.7241345389205511,4.985888603382005,4.996989765201687
2015-09-01,70.11,0.5,4.6,70.0815962458127,70.0649238061447,1.00040529547997,1.00023795700848,0.3377515587835278,4.649064762755883,4.641791044776111
2015-10-01,70.4,0.4,4.0,70.2288664690986,70.2218133239712,1.00243679756638,1.00010044094269,0.21014108007664234,3.992325139897268,3.988183161004444
2015-11-01,70.38,0.0,3.9,70.3332677047189,70.3522757603031,1.00066444083726,0.999729816052448,0.14865857996759768,3.9428795837826547,3.9432875498449205
2015-12-01,70.39,0.0,4.4,70.5079867547488,70.5272024485508,0.998326618583519,0.999727542095322,0.2484159427419419,4.403957518075896,4.389737505561309
2016-01-01,70.72,0.5,4.8,70.7579580020797,70.7546503965641,0.999463551476732,1.00004674753528,0.35452898151864254,4.777891170080961,4.785894206549135
2016-02-01,70.91,0.3,4.7,70.9914807905187,70.9636311636329,0.998852245514373,1.0003924492931,0.3300304234784779,4.712365578320088,4.710572947430602
2016-03-01,71.18,0.4,4.5,71.1096628081173,71.1337863903357,1.00098913690636,0.999660870263731,0.16647352088252632,4.445985692862053,4.446074834922964
2016-04-01,71.42,0.3,4.2,71.3234587040543,71.3201704185151,1.00135357002731,1.00004610596862,0.3006566020625101,4.1939012429142775,4.201925882696234
2016-05-01,71.58,0.2,4.2,71.5247009190398,71.5915561989046,1.00077314662277,0.999066156912709,0.2821543130998805,4.242414136667461,4.2528400815613265
2016-06-01,71.9,0.4,4.2,71.9876516406472,71.9101346859933,0.998782407278894,1.00107796981597,0.647259919522658,4.205502556582452,4.202898550724643
2016-07-01,72.07,0.2,4.0,72.121804377754,72.1125358278676,0.999281709904502,1.00012852896906,0.18635520682974693,4.006506178532598,4.012122961466291
2016-08-01,72.11,0.0,3.4,72.1957421250105,72.197786003382,0.998812365902936,0.999971690567195,0.10251788331476774,3.364632442631099,3.368692660550443
2016-09-01,72.28,0.2,3.1,72.2611586869704,72.2391565880741,1.00026073914911,1.00030457303124,0.09061000002830166,3.1100353843437567,3.0951362145200445
2016-10-01,72.4,0.2,2.8,72.2312541343879,72.2787911603308,1.0023361890588,0.999342310169003,-0.041383992626042865,2.8512316458508824,2.840909090909083
2016-11-01,72.44,0.1,2.9,72.3931023610281,72.3573784969773,1.00064781916291,1.00049371418358,0.22406952306142092,2.9286775995635894,2.9269678886047146
2016-12-01,72.29,-0.2,2.7,72.4186566560542,72.4835218493957,0.998223432165205,0.999105104281822,0.035299350618589465,2.709863079698138,2.6992470521380874
2017-01-01,72.68,0.5,2.8,72.7111837182843,72.6960248947125,0.999571128997085,1.0002085234178,0.40393881319760183,2.760432566676374,2.7714932126696956
2017-02-01,72.86,0.2,2.7,72.9436749217922,72.9179387258619,0.998852883106289,1.00035294738688,0.3197461403030788,2.749899156257962,2.749964744041744
2017-03-01,73.14,0.4,2.7,73.0649114348339,73.0720311263431,1.00102769665619,0.99990256612004,0.1662056554892377,2.749624382262428,2.753582466985094
2017-04-01,73.31,0.2,2.7,73.2035759424263,73.2046973904165,1.00145380954692,0.999984680655338,0.18978262598192686,2.6360432773924414,2.646317558106981
2017-05-01,73.4,0.1,2.6,73.3344696387038,73.2738412120255,1.00089358198974,1.00082742252454,0.17880778990966295,2.5302709363475673,2.5426096675049026
2017-06-01,73.12,-0.4,1.7,73.2144851358952,73.2759891170644,0.998709474829743,0.999160653006391,-0.16361269591191885,1.7042276936219514,1.6968011126564653
2017-07-01,73.29,0.2,1.7,73.3419225658297,73.3556221610378,0.999292047930935,0.99981324410039,0.17406040580352222,1.6917466203217213,1.6927986679617257
2017-08-01,73.44,0.2,1.9,73.5281942593344,73.4280378779743,0.998800538212276,1.00136400732274,0.2539771074824282,1.8456104128920625,1.844404382193865
2017-09-01,73.33,-0.2,1.5,73.3213176626885,73.4364384646425,1.00011841491108,0.998432374930472,-0.28135683016536905,1.467121472976407,1.4526840066408475
2017-10-01,73.76,0.6,1.9,73.5929610572688,73.5673378969848,1.00226976792796,1.00034829533073,0.3704835145352581,1.8852045962644004,1.8784530386740217
2017-11-01,73.83,0.1,1.9,73.7805425317947,73.8024443279837,1.00067033212969,0.999703237522978,0.25489051103668725,1.9165364178583832,1.9188293760353359
2017-12-01,73.93,0.1,2.3,74.0654810713201,74.0511703375385,0.998170793339077,1.00019325466048,0.3861974034720772,2.2740333655833167,2.26864019919768
2018-01-01,74.27,0.5,2.2,74.2938067288922,74.2639754323063,0.999679559711094,1.00040169269706,0.30827539937565707,2.1765881528482467,2.187671986791395
2018-02-01,74.31,0.0,2.0,74.3975907974221,74.3678250811962,0.99882266621159,1.00040024992251,0.13969410520127123,1.9932034918568986,1.9901180345868852
2018-03-01,74.46,0.2,1.8,74.3819535546655,74.4348003575584,1.00104926587169,0.999290025597717,-0.02101848001929696,1.8025644512089212,1.8047579983593076
2018-04-01,74.7,0.3,1.9,74.5864423594482,74.5929240494652,1.00152249707802,0.999913105832763,0.27491722791659345,1.8890694876839254,1.896057836584375
2018-05-01,74.9,0.3,2.0,74.8267612548966,74.8298690652804,1.00097877743036,0.999958468317228,0.3222018477436528,2.0349115818862007,2.043596730245234
2018-06-01,74.98,0.1,2.5,75.083177669066,75.0749373515574,0.99862582175836,1.00010976123057,0.3426800918135742,2.5523535809919062,2.5437636761487914
2018-07-01,75.25,0.4,2.7,75.3032359017069,75.2925754461701,0.999293046293835,1.00014158707514,0.2930859341233827,2.6742049666298007,2.6743075453677045
2018-08-01,75.38,0.2,2.6,75.4724283172517,75.4712436435726,0.998775336645282,1.00001569702077,0.22468146756089435,2.644202101659099,2.641612200435728
2018-09-01,75.63,0.3,3.1,75.6270673963223,75.6187326950151,1.00003877717038,1.00011022006069,0.2048947973696702,3.1447194446795113,3.1365062048274828
2018-10-01,75.91,0.4,2.9,75.7392255352834,75.7418768073051,1.00225476909104,0.999964995955561,0.14830422866105586,2.9163991327165295,2.91485900216919
2018-11-01,75.91,0.0,2.8,75.8551011075226,75.856558999989,1.00072373369326,0.999980780930672,0.15299281372400664,2.8117963145010805,2.8172829473113836
2018-12-01,75.83,-0.1,2.6,75.972526577388,75.9313480434475,0.998123972127703,1.00054231269432,0.15480233781370867,2.574810125423399,2.5699986473691316
2019-01-01,75.91,0.1,2.2,75.9271142118549,75.964121853143,0.999774596834971,0.999512827366587,-0.05977472065094025,2.1984436588676104,2.2081594183384956
2019-02-01,75.95,0.0,2.2,76.0422701797358,76.0546357004126,0.998786593568055,0.999837412663108,0.15166646207516177,2.2106621527463233,2.206970798008334
2019-03-01,76.31,0.5,2.5,76.2259094417807,76.2151248844741,1.00110317553224,1.00014150153691,0.2414962909587759,2.479036646651167,2.4845554660220426
